meteo_date,meteo_tmed,meteo_prec,meteo_tmin,meteo_tmax,meteo_dir,meteo_velmedia,meteo_racha,meteo_presMax,meteo_presMin,day,month,year
01/03/2017,10.6,0.0,5.2,16.0,26.0,1.1,6.9,944.2,940.5,1,3,2017
02/03/2017,11.0,0.0,5.8,16.3,21.0,0.8,5.0,943.7,937.8,2,3,2017
03/03/2017,8.0,2.1,3.9,12.0,22.0,2.2,13.9,937.8,924.9,3,3,2017
04/03/2017,5.3,0.0,1.0,9.6,26.0,1.4,12.5,937.0,928.5,4,3,2017
05/03/2017,8.6,0.0,4.8,12.4,25.0,1.1,8.3,944.3,937.0,5,3,2017
06/03/2017,14.1,0.0,9.4,18.8,30.0,1.9,15.3,948.3,944.4,6,3,2017
07/03/2017,14.2,0.0,8.9,19.4,33.0,1.9,10.6,949.0,947.2,7,3,2017
08/03/2017,14.7,0.0,7.8,21.6,99.0,1.1,3.3,951.1,948.5,8,3,2017
09/03/2017,16.8,0.0,8.8,24.8,24.0,0.8,5.0,950.6,947.1,9,3,2017
10/03/2017,18.0,0.0,9.8,26.1,24.0,0.8,6.1,948.1,943.6,10,3,2017
11/03/2017,16.1,0.0,9.6,22.6,27.0,0.8,8.3,944.1,939.9,11,3,2017
12/03/2017,13.1,0.0,7.2,19.0,33.0,3.1,17.8,942.9,939.5,12,3,2017
13/03/2017,11.4,0.0,7.2,15.5,1.0,5.3,16.4,946.1,939.1,13,3,2017
14/03/2017,14.8,0.0,10.1,19.5,4.0,2.5,15.8,948.8,946.1,14,3,2017
15/03/2017,15.2,0.0,9.7,20.8,10.0,1.9,8.3,948.8,943.5,15,3,2017
16/03/2017,13.7,0.0,7.0,20.4,11.0,2.2,9.7,946.3,942.1,16,3,2017
17/03/2017,13.8,0.0,7.2,20.5,8.0,1.4,7.2,945.0,941.7,17,3,2017
18/03/2017,14.4,0.0,7.2,21.5,6.0,1.1,4.7,946.0,942.0,18,3,2017
19/03/2017,15.6,0.0,7.6,23.5,23.0,1.1,5.0,943.5,937.0,19,3,2017
20/03/2017,17.6,0.0,11.0,24.2,23.0,1.7,7.2,938.8,936.0,20,3,2017
21/03/2017,12.6,0.0,8.8,16.5,26.0,2.5,10.8,940.1,937.0,21,3,2017
22/03/2017,7.6,2.4,2.9,12.2,26.0,2.5,13.9,940.0,932.7,22,3,2017
23/03/2017,2.6,5.1,0.0,5.3,27.0,0.8,7.2,935.3,932.8,23,3,2017
24/03/2017,5.4,4.5,1.3,9.5,24.0,0.8,8.3,938.1,933.8,24,3,2017
25/03/2017,4.4,2.9,-0.4,9.3,24.0,1.4,8.3,938.1,925.6,25,3,2017
26/03/2017,10.4,2.1,5.5,15.3,16.0,1.7,10.3,938.8,934.1,26,3,2017
